Drone ID,Time,Speed m/s,Conditions of Traffic
6043,"2011-03-22 08:05:17",6.686751527775026,LIGHT
6043,"2011-03-22 08:05:18",6.378070298048755,LIGHT
6043,"2011-03-22 08:05:19",6.643489585834861,HEAVY
6043,"2011-03-22 08:05:20",6.862596390704646,MODERATE
6043,"2011-03-22 08:05:21",8.078645149591555,HEAVY
6043,"2011-03-22 08:05:22",8.067156968769767,HEAVY
6043,"2011-03-22 08:05:23",8.029518066530262,HEAVY
6043,"2011-03-22 08:05:24",7.765386129243938,HEAVY
6043,"2011-03-22 08:05:25",7.960297384535219,LIGHT
6043,"2011-03-22 08:05:26",8.285070537100562,LIGHT
6043,"2011-03-22 08:05:28",7.639432114603906,LIGHT
6043,"2011-03-22 08:05:28",Infinity,HEAVY
6043,"2011-03-22 08:05:29",14.882688494123126,LIGHT
6043,"2011-03-22 08:05:30",6.8577663810758445,MODERATE
6043,"2011-03-22 08:05:31",6.0993593820661385,HEAVY
6043,"2011-03-22 08:05:32",6.487541120207019,LIGHT
6043,"2011-03-22 08:05:33",6.347553249905491,LIGHT
6043,"2011-03-22 08:05:34",7.017588028185076,HEAVY
6043,"2011-03-22 08:05:35",6.518484915496087,MODERATE
6043,"2011-03-22 08:05:36",6.518484470545583,MODERATE
6043,"2011-03-22 08:05:37",6.568555632176311,HEAVY
6043,"2011-03-22 08:05:38",6.162001048318958,LIGHT
6043,"2011-03-22 08:05:39",6.691491444251075,LIGHT
6043,"2011-03-22 08:05:40",6.583451568435441,LIGHT
6043,"2011-03-22 08:05:41",5.290779246894468,LIGHT
6043,"2011-03-22 08:05:42",4.708173474187843,MODERATE
6043,"2011-03-22 08:05:43",5.187235489622455,HEAVY
6043,"2011-03-22 08:05:44",4.9364845669591775,LIGHT
6043,"2011-03-22 08:05:45",5.15927648865474,MODERATE
6043,"2011-03-22 08:05:46",5.7169899024975015,MODERATE
6043,"2011-03-22 08:05:50",1.5758269901115314,LIGHT
6043,"2011-03-22 08:05:50",Infinity,HEAVY
6043,"2011-03-22 08:05:50",Infinity,HEAVY
6043,"2011-03-22 08:05:50",Infinity,HEAVY
6043,"2011-03-22 08:05:57",1.594038236001893,HEAVY
6043,"2011-03-22 08:05:59",2.6112521190544222,HEAVY
6043,"2011-03-22 08:06:00",4.654236261984124,MODERATE
6043,"2011-03-22 08:06:01",4.926291984065938,LIGHT
6043,"2011-03-22 08:06:02",4.9949005444624826,HEAVY
6043,"2011-03-22 08:06:03",5.4173513770812,MODERATE
6043,"2011-03-22 08:06:04",6.506561789597346,MODERATE
6043,"2011-03-22 08:06:05",7.406405441347476,MODERATE
6043,"2011-03-22 08:06:06",7.488844425461454,LIGHT
